year,date,subject,question_no,question,option_A,option_B,option_C,option_D,correct_answers,notes
110,2021/11/6,保健食品概論,34,"台灣及日本皆曾發生過所謂的油症事件，是因米糠油製備過程受到何種化學物質汙染所致
之中毒事件？",多氯聯苯,戴奧辛,氯乙烯,聯苯胺,A,
110,2021/10/2,保健食品概論,34,下列有關食用油之敘述，何者錯誤？,大量煎炸食品時，以沙拉油較宜，豬油或動物性油脂較不適宜,植物油之不飽和脂肪酸含量較高，較具健康性,橄欖油適用涼拌或低溫拌炒,"用來油炸的油脂，發煙點應選用高於 200℃以上較為恰當 
Bor",A,
110,2021/11/6,保健食品概論,35,下列何種植物種子含有毒蛋白，其油品使用於食品時有法令規範？,沒食子,蓖麻子,五味子,牽牛花子 ,B,
110,2021/10/2,保健食品概論,35,下列有關食品添加物-銅葉綠素之敘述何者是正確的？,可添加於調味乳、湯類及不含酒精之調味飲料,為國際規範准許使用之食品添加物著色劑,各國均未准許使用於食用油脂產品中,以上皆是,C,
110,2021/11/6,保健食品概論,36,下列有關吊白塊（Rongalit）之敘述，何者錯誤？,為非法之食品漂白劑,含氰化物可能產生中毒,可能產生頭痛、眩暈、呼吸困難、嘔吐,以上皆非,B,
110,2021/10/2,保健食品概論,36,下列何種植物種子含有毒蛋白，其油品使用於食品時有法令規範？,沒食子,蓖麻子,五味子,牽牛花子 ,B,
110,2021/11/6,保健食品概論,37,失憶性（或健忘性）貝類中毒是下列何種海洋藻類之毒素所致？,藍綠藻,矽藻,微囊藻,渦鞭毛藻,B,
110,2021/10/2,保健食品概論,37,下列有關吊白塊（Rongalit）之敘述，何者錯誤？,為非法之食品漂白劑,含氰化物可能產生中毒,可能產生頭痛、眩暈、呼吸困難、嘔吐,以上皆非,B,
110,2021/11/6,保健食品概論,38,軟骨藻酸（domoic acid）可能與下列何種中毒事件有關？,麻痺性貝類中毒,失憶性貝類中毒,神經性貝類中毒,下痢性貝類中毒,B,
110,2021/10/2,保健食品概論,38,主管機關採行之食品安全管理措施是以下列何者為主要基礎考量？,毒性試驗,立法委員建議,多數民眾意見,風險評估,D,
110,2021/11/6,保健食品概論,39,下列有關食用油之敘述，何者錯誤？,大量煎炸食品時，以沙拉油較宜，豬油或動物性油脂較不適宜,植物油之不飽和脂肪酸含量較高，較具健康性,橄欖油適用涼拌或低溫拌炒,用來油炸的油脂，發煙點應選用高於 200℃以上較為恰當,A,
110,2021/10/2,保健食品概論,39,"下列工業原料中何者曾被使用於人造奶油，且其不當添加於食品中曾造成所謂毒豆干
事件？",喹啉黃,二甲基黃,檸檬黃,玉米黃素,B,
110,2021/11/6,保健食品概論,40,世界衛生組織（WHO）將加工肉品，如培根、香腸、火腿跟熱狗列為第幾級致癌物？,1 級,2A級,2B級,3 級,A,
110,2021/10/2,保健食品概論,40,"健康食品安全性評估方法中需使用所謂前置培養法或平板混合試驗法的是指下列何種
試驗？",體外哺乳類細胞基因毒性試驗,體外微生物基因突變試驗,體外骨髓細胞微核基因毒性試驗,以上皆非,B,
110,2021/11/6,保健食品概論,41,下列有關黴菌毒素特性之敘述，何者不正確？,是黴菌感染產生之副產物,在穀物或植物體中相當穩定,不受冷凍影響,遇熱會被分解 ,D,
110,2021/10/2,保健食品概論,41,"台灣及日本皆曾發生過所謂的油症事件，是因米糠油製備過程受到何種化學物質汙染所致
之中毒事件？",多氯聯苯,戴奧辛,氯乙烯,聯苯胺 ,A,
110,2021/11/6,保健食品概論,42,"健康食品安全性評估類別：a.第一類 b.第二類 c.第三類 d.第四類，何者應進行基因毒
性試驗？",ab,bc,bcd,abcd,C,
110,2021/10/2,保健食品概論,42,"下列何種實驗最常被使用於食品安全性評估中的""致突變試驗""？",染色體變異試驗,小鼠周邊血球微核試驗,安姆氏（Ames）試驗,DNA損傷確認試驗,C,
110,2021/11/6,保健食品概論,43,"下列何種化學物質是屬於高碳水化合物食品在經過高溫油炸或烘焙過程後的產物且與食
物褐變的梅納反應密切相關？",丙烯醯胺,二硫化碳,聯苯胺,亞硝酸鹽,A,
110,2021/10/2,保健食品概論,43,健康食品的安全性較不受下列何種因素影響？,原料來源,製造方式,設備價格,成分組成,C,
110,2021/11/6,保健食品概論,44,"申請健康食品認證，原則上非經傳統方式萃取、濃縮之傳統食用原料應歸為第幾類安全性
評估？",第一類,第二類,第三類,第四類,B,
110,2021/10/2,保健食品概論,44,缺乏碘時會產生下列何種病症？,Beriberi,Cretinism,Hemolytic anemia,Rickets,B,
110,2021/11/6,保健食品概論,45,一茶匙的液體卵磷脂可提供大約多少能量？,0 大卡路里,2 大卡路里,45 大卡路里,200 大卡路里,C,
110,2021/10/2,保健食品概論,45,下列何者是鈣攝取超出最高容許量（UL）的風險？,手足抽搐,萎縮性胃炎,維生素D缺乏症,腎結石的形成,D,
110,2021/11/6,保健食品概論,46,國人膳食營養素參考攝取量對鐵質的建議為何者正確？,10-18 歲男性與女性的建議攝取量相同,51 歲以上老化增加應增加攝取量,懷孕應從第一期開始每日增加 30 毫克,分娩後與成人期需求量相同 ,A,
110,2021/10/2,保健食品概論,46,國人膳食營養素參考攝取量對鐵質的建議為何者正確？,10-18歲男性與女性的建議攝取量相同,51歲以上老化增加應增加攝取量,懷孕應從第一期開始每日增加 30毫克,分娩後與成人期需求量相同,A,
110,2021/11/6,保健食品概論,47,下列有關於人體如何自行合成維生素之敘述，何者正確？,藉由葉黃素合成維生素 A，大部分儲存於肝臟,皮膚藉由日曬合成維生素 C，幫助調控血鈣,藉由色胺酸合成菸鹼素，食物烹煮時菸鹼素易流失,維生素 K可由結腸中細菌合成，滿足人體所需之 10%,D,
110,2021/10/2,保健食品概論,47,為了避免維生素攝取過量產生毒性的風險，綜合維生素和礦物質補充劑的劑量建議為何？,應少於每日參考值（DV）的兩倍,應少於上限攝取量（UL）的兩倍,應少於平均需要量（EAR）的兩倍,應少於包裝標示份量的兩倍 ,A,
110,2021/11/6,保健食品概論,48,"某人體重為 60 公斤，初估其基礎代謝率是每小時每公斤體重 0.9 大卡，若其過著靜態的
生活方式，則每日所需總能量約為多少大卡？",1200,1500,2100,2500,C,
110,2021/10/2,保健食品概論,48,下列有關於人體如何自行合成維生素之敘述，何者正確？,藉由葉黃素合成維生素 A，大部分儲存於肝臟,皮膚藉由日曬合成維生素 C，幫助調控血鈣,藉由色胺酸合成菸鹼素，食物烹煮時菸鹼素易流失,維生素K可由結腸中細菌合成，滿足人體所需之 10%,D,
110,2021/11/6,保健食品概論,49,下列何種蛋白中的鐵為儲存性鐵？,鐵蛋白,肌紅素,轉鐵蛋白,血紅素,A,
110,2021/10/2,保健食品概論,49,下列何種維生素的功能與能量釋放無直接關係？,"維生素B 
1",泛酸,菸鹼酸,"維生素B 
12",D,
110,2021/11/6,保健食品概論,50,以下何者是台灣十大死因？,禽流感,嚴重急性呼吸道症候群 SARS,糖尿病,缺鐵性貧血,C,
110,2021/10/2,保健食品概論,50,下列何者是鎂的主要功能？,運輸氧氣,預防貧血,能量代謝中的催化劑,甲狀腺激素的生產,C,
110,2021/11/6,保健食品概論,51,一個人的體重（kg）與身高（m2）的比值稱為：,身體質量指標,身高對體重指標,理想體重指標,期望的體重指標,A,
110,2021/10/2,保健食品概論,51,一個長期飢餓的人正在失去：,只有脂肪,只有肝醣,肝醣和脂肪,肝醣、蛋白質及脂肪,D,
110,2021/11/6,保健食品概論,52,下列何者可用來衡量一個人的腹部脂肪？,BMI,必須體脂肪,水中秤重法,腰圍 ,D,
110,2021/10/2,保健食品概論,52,下列何者不能用來製造身體蛋白質？,葡萄糖,甘油,脂肪酸,胺基酸,C,
110,2021/11/6,保健食品概論,53,[膳食營養素參考攝取量]可以簡稱為？,RDIs,IDFs,DRIs,RADs,C,
110,2021/10/2,保健食品概論,53,酒精攝取過量可能導致下列何種維生素缺乏？,維生素A,維生素C,菸鹼酸,維生素K,C,
110,2021/11/6,保健食品概論,54,純素食者最容易引起下列何種營養素缺乏？,"維生素 B 
1","維生素 B 
12",維生素 C,膳食纖維,B,
110,2021/10/2,保健食品概論,54,國人膳食營養素參考攝取量對 19歲以上的上限攝取量（UL）為何？,維生素A 1000 微克，維生素 C 2000 毫克，維生素E 3000 毫克,維生素A 1000 微克，維生素 C 3000 毫克，維生素E 2000 毫克,維生素A 3000 微克，維生素C 2000 毫克，維生素E 1000 毫克,維生素A 2000 微克，維生素 C 1000 毫克，維生素E 3000 毫克,C,
110,2021/11/6,保健食品概論,55,下列何者為必需脂肪酸？,Arachidonic acid,Eicosapentaenoic acid,Linoleic acid,Oleic acid,C,
110,2021/10/2,保健食品概論,55,以蛋白質消化率校正之胺基酸分數（PDCAAS）來看，以下何種食物的蛋白質品質較差？,牛奶,黃豆,玉米,肉類,C,
110,2021/11/6,保健食品概論,56,下列何種維生素的功能與能量釋放無直接關係？,"維生素 B 
1",泛酸,菸鹼酸,"維生素 B 
12",D,
110,2021/10/2,保健食品概論,56,下列何者為含硫胺基酸？,半胱胺酸,酪胺酸,麩胺酸,精胺酸,A,
110,2021/11/6,保健食品概論,57,一個長期飢餓的人正在失去：,只有脂肪,只有肝醣,肝醣和脂肪,肝醣、蛋白質及脂肪,D,
110,2021/10/2,保健食品概論,57,有關魚油EPA的結構描述下列何者是正確的？,C22:4,C20:4,C20:5,C22:5,C,
110,2021/11/6,保健食品概論,58,下列何者不能用來製造身體蛋白質？,葡萄糖,甘油,脂肪酸,胺基酸 ,C,
110,2021/10/2,保健食品概論,58,食物中所含之葉酸，必須經由哪一個酵素作用後才可被吸收？,二氫葉酸還原酶,葉酸合成解酶,蛋白酶,胰蛋白酶,A,
110,2021/11/6,保健食品概論,59,國人膳食營養素參考攝取量對 19 歲以上的上限攝取量（UL）為何？,維生素 A 1000 微克，維生素 C 2000 毫克，維生素 E 3000 毫克,維生素 A 1000 微克，維生素 C 3000 毫克，維生素 E 2000 毫克,維生素 A 3000 微克，維生素 C 2000 毫克，維生素 E 1000 毫克,維生素 A 2000 微克，維生素 C 1000 毫克，維生素 E 3000 毫克,C,
110,2021/10/2,保健食品概論,59,下列何者是可消化的多醣？,纖維素,木質素,棉籽糖,果膠 ,D,
110,2021/11/6,保健食品概論,60,美國運動醫學專科學會所命名的女運動員三症候群有那些特徵？,體溫異常、無月經週期、憂鬱症,睡眠異常、無月經週期、肌肉上癮症,飲食異常、無月經週期、骨質疏鬆症,血糖異常、無月經週期、健康食品症,C,
110,2021/10/2,保健食品概論,60,下列何者不是水溶性纖維？,樹膠,果膠質,木質素,黏液質,C,
110,2021/11/6,保健食品概論,61,下列哪一種脂蛋白的氧化與動脈粥狀硬化的成因有關？,乳糜微粒,低密度脂蛋白,極低密度脂蛋白,高密度脂蛋白,B,
